County,College_Participation_Rate,Population_2023,Unemployment,Median_Income,Total_Poverty,Childhood_Poverty,Political Affiliation,Advanced_Degree_Majority,Minority_Dominated,SOL_Math,SOL_Reading
Portsmouth City,37.3,"96,793",3.7,53618,17.6,25.8,Democrat,Not Advanced,Yes,54.93,60.38
Powhatan County,41.5,"32,105",2.5,99854,6,7.3,Republican,Advanced,No,76.04,79.58
Prince Edward County,47.3,"22,049",3.8,51239,18.7,25.1,Democrat,Not Advanced,Yes,57.51,60.37
Prince George County,41,"42,871",3.3,79710,10.4,12.7,Republican,Not Advanced,No,70.6,75.76
Prince William County,43.1,"489,640",2.6,116354,6.4,8.4,Democrat,Advanced,Yes,72.87,76.09
Pulaski County,22.4,"33,655",3,53111,13.5,20,Republican,Not Advanced,No,66.05,69.36
Radford City,81.7,"16,971",3.4,48898,25.6,17.9,Democrat,Not Advanced,No,70.39,79
Rappahannock County,33.3,"7,414",2.5,80098,9.1,15.9,Republican,Not Advanced,No,70.22,71.17
Richmond City,43,"229,247",3.3,52011,21.1,32,Democrat,Not Advanced,Yes,46.71,49.58
Richmond County,38.2,"9,184",2.8,53959,16.9,20.1,Republican,Advanced,No,68.72,69.71
Roanoke City,31.6,"97,171",3.1,47545,17.9,27.4,Democrat,Not Advanced,No,50.66,52.83
Roanoke County,46.4,"97,026",2.5,73438,8.1,8.7,Republican,Advanced,No,83.91,82.71
Rockbridge County,36.5,"22,358",2.8,59252,10.2,16.8,Republican,Not Advanced,No,66.64,73.78
Rockingham County,44.3,"86,568",2.5,72392,8.3,10.6,Republican,Advanced,No,66.73,64.78
Russell County,22.9,"25,477",3.4,45254,18.4,24,Republican,Not Advanced,No,72.05,76.01
Salem City,47,"25,600",2.8,60740,10.5,13.6,Republican,Advanced,No,78.14,78.38
Scott County,32,"21,433",3.1,42894,19.6,24,Republican,Not Advanced,No,68.84,76.06
Shenandoah County,24.5,"45,228",2.7,65308,9.8,14.9,Republican,Not Advanced,No,74.59,69.09
Smyth County,18.1,"29,216",3.1,42303,17.5,23.2,Republican,Not Advanced,No,74.25,77.91
Southampton County,57.3,"17,975",2.7,57965,14.1,19.2,Republican,Advanced,No,64.62,69.04
Spotsylvania County,40.3,"149,588",2.9,100162,7.2,10.5,Republican,Advanced,No,65.77,69.23
Stafford County,47.4,"165,428",2.8,116569,5.4,6.7,Democrat,Advanced,No,67.9,71.26
Staunton City,38.4,"25,915",2.6,54508,12,17.5,Democrat,Not Advanced,No,71.19,74.49
Suffolk City,49.5,"100,659",3,78090,10.6,13.7,Democrat,Not Advanced,Yes,71.65,71.96
Surry County,45.6,"6,593",2.8,61358,12.2,20.1,Democrat,Not Advanced,No,73.91,77.08
Sussex County,47.9,"10,757",4.1,54282,19.5,26.9,Democrat,Not Advanced,Yes,65.07,69.57
Tazewell County,23.5,"39,120",4.1,40728,19.6,27.8,Republican,Not Advanced,No,82.92,81.82
Virginia Beach City,57,"453,649",2.7,81364,9.4,11.9,Democrat,Advanced,No,78.49,81.87
Warren County,25,"41,843",2.8,73546,9.2,13.4,Republican,Not Advanced,No,65.09,68.74
Washington County,37.4,"54,050",2.8,54223,13.3,17.6,Republican,Not Advanced,No,85.19,83.57
Waynesboro City,30.4,"23,182",2.9,54106,12.3,19.2,Republican,Not Advanced,No,54.04,59.76
Westmoreland County,29.7,"19,013",3,59959,15.1,24.2,Republican,Not Advanced,No,75.22,72.08
Williamsburg-James City County,43.1,"15,847",3.9,61750,19.3,21.9,Democrat,Advanced,No,76.56,77.75
Winchester City,39.2,"27,617",2.6,55908,12.5,18.9,Democrat,Not Advanced,No,65.81,62.21
Wise County,41.8,"35,174",4,41994,19.2,25.7,Republican,Not Advanced,No,89.24,86.65
Wythe County,27.7,"28,104",2.9,51206,16.9,25.4,Republican,Not Advanced,No,81.35,80.68
York County,57,"70,952",2.7,97500,5.1,6.1,Republican,Advanced,No,86.48,86.59
